JobTitle,Gender,Age,SalaryUSD,Country,EmploymentStatus,YearsofExperience,Education,EducationIsComputerRelated,EmploymentSector,LookingForAnotherJob,KindsOfTasksPerformed,ToolsUsed
Data Engineer,Male,21,650000,United States,Full time employee,3,Bachelors (4 years),No,,No,"Build scripts & automation tools, Meetings & management, Projects, R&D","Amazon RDS (any flavor), Python"
Architect,Male,31,200000,United States,Full time employee,13,Bachelors (4 years),Yes,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management","Amazon RDS (any flavor), Python"
Manager,Male,20,195000,United States,Full time employee,2,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D","Amazon RDS (any flavor), Python"
Architect,Male,31,130000,Australia,Full time employee,10,Masters,No,,Yes,"Build scripts & automation tools, Manual tasks, R&D, Training/teaching","Amazon RDS (any flavor), Python"
Data Analyst,Male,21,105000,United States,Full time employee,1,Masters,No,,No,"Manual tasks, Meetings & management, Projects","Amazon RDS (any flavor), Python"
DBA,Male,18,68000,United States,Full time employee,0,None (no degree completed),,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365","Amazon RDS (any flavor), Python"
"Developer: App code (C#, JS, etc)",Male,29,70000,United States,Full time employee,11,Bachelors (4 years),Yes,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects","Amazon RDS (any flavor), Python, C#, JS, .NET"
Data Engineer,Male,20,575000,United States,Full time employee,2,Bachelors (4 years),No,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, Training/teaching","Amazon RDS (any flavor), R"
Data Engineer,Male,43,166000,United States,Full time employee,25,Bachelors (4 years),No,,No,"Meetings & management, Projects, Training/teaching","Azure SQL DB, Python"
Data Engineer,Male,26,165000,United States,Full time employee,8,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects","Azure SQL DB, Python"
Manager,Male,21,150000,United States,Full time employee,1,Masters,Yes,,No,"Manual tasks, Meetings & management, Projects, Training/teaching","Azure SQL DB, Python"
DBA,Male,25,110000,United States,Full time employee,7,Bachelors (4 years),No,,Yes,Projects,"Azure SQL DB, Python"
Architect,Female,24,100000,United States,Full time employee,4,Associates (2 years),Yes,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D","Azure SQL DB, Python"
Developer: T-SQL,Male,21,65000,United States,Full time employee,1,Bachelors (4 years),No,,No,,"Azure SQL DB, Python"
Data Engineer,Male,33,60000,Italy,Full time employee,15,None (no degree completed),,,Yes,"Manual tasks, On-call as part of a rotation, Training/teaching","Azure SQL DB, Python"
Developer: T-SQL,Male,20,44000,United States,Full time employee,2,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects","Azure SQL DB, Python"
"Developer: App code (C#, JS, etc)",Male,31,130000,Canada,"Independent consultant, contractor, freelancer,  or company owner",13,Bachelors (4 years),Yes,Federal government,Yes,,"Azure SQL DB, Python, C#, JS, .NET"
